	English	Japanese	English Sentence	Japanese Example	listening score	speaking score
59	left	ひだり	Please turn left there.	そこ を <b>ひだり</b> に まがって ください	0	0
60	person	ひと	He's a nice guy.	かれ は やさしい <b>ひと</b> です	0	0
61	one, one person	ひとり	I was the only one there.	そこ に は わたし <b>ひとり</b> しか いなかった	0	0
62	put in	いれる	He put the appointment book in his bag.	かれ は かばん に てちょう を <b>いれた</b>	0	0
63	enter	はいる	It's cold so please come inside.	さむい の で なか に <b>はいって</b> ください	0	0
64	go out, leave	でる	I left the house early this morning.	けさ は はやく いえ を <b>でました</b>	0	0
65	can do, be good at	できる	She knows Italian.	かのじょ は いたりあご が <b>できます</b>	0	0
66	take out	だす	He took the textbook out of his bag.	かれ は かばん から きょうかしょ を <b>だした</b>	0	0
67	book, volume	ほん	I bought one book.	<b>ほん</b> を いっさつ かいました	0	0
68	take a day off, take a break	やすむ	I'm off work tomorrow.	あした かいしゃ を <b>やすみます</b>	0	0
69	body, health	からだ	I'm physically strong.	わたし は <b>からだ</b> が じょうぶ だ	0	0
70	where	どこ	Where did you put that book?	あの ほん を <b>どこ</b> に おきました か	0	0
71	mouth	くち	Open wide, please.	<b>くち</b> を おおきく あけて ください	0	0
72	ear, hearing	みみ	Her hearing isn't very good.	かのじょ は <b>みみ</b> が よく きこえません	0	0
73	good, skilled	じょうず	My little sister can sing.	いもうと は うた が <b>じょうず</b> です	0	0
74	hand	て	Please raise your hand if you understand.	わかった ひと は <b>て</b> を あげて ください	0	0
75	leg, foot	あし	He has long legs.	かれ は <b>あし</b> が ながい	0	0
76	man, male	おとこ	This guy began talking to us.	<b>おとこ</b> の ひと が わたしたち に はなしかけた	0	0
77	woman, girl	おんな	The salesclerk was a young woman.	てんいん は わかい <b>おんな</b> の ひと でした	0	0
78	child, kid	こども	Kids were making a racket in the train.	でんしゃ で <b>こども</b> が さわいで いた	0	0
79	favorite, liked	すき	I like wine.	わたし は わいん が <b>すき</b> です	0	0
80	love	だいすき	I love dogs.	わたし は いぬ が <b>だいすき</b> だ	0	0
81	friend, companion	ともだち	I have a lot of friends.	わたし に は <b>ともだち</b> が たくさん います	0	0
82	weather	てんき	It's nice out today.	きょう は いい <b>てんき</b> です ね	0	0
83	like this, this kind of	こう	I can't read such small letters.	<b>こう</b> ちいさい じ は よめない	0	0
84	time, hour	じかん	I don't have time now.	いま は <b>じかん</b> が ありません	0	0
85	high, tall	たかい	This is the tallest building in town.	これ が この まち で いちばん <b>たかい</b> びる です	0	0
86	inexpensive, cheap	やすい	These clothes were very cheap.	この ふく は とても <b>やすかった</b>	0	0
87	low, short	ひくい	He's short.	かれ は せ が <b>ひくい</b>	0	0
88	front, before	まえ	Let's meet in front of the shop.	その みせ の <b>まえ</b> で あいましょう	0	0
89	back, behind	うしろ	Turn around.	<b>うしろ</b> を むいて	0	0
90	afternoon, p.m.	ごご	A guest is coming to visit tomorrow afternoon.	あす の <b>ごご</b> おきゃくさま が くる	0	0
91	morning, a.m.	ごぜん	And now for the 9.00 a.m. news.	<b>ごぜん</b> くじ の にゅーす です	0	0
92	morning	あさ	It's a pleasant morning.	きもち の いい <b>あさ</b> です	0	0
93	daytime, midday	ひる	I watch daytime dramas every day.	わたし は <b>ひる</b> の どらま を まいにち みます	0	0
94	fairly, rather	かなり	He's pretty good at English.	かれ は <b>かなり</b> えいご が じょうず です	0	0
95	this evening, tonight	こんばん	From what time is the party tonight?	<b>こんばん</b> の ぱーてぃー は なんじ から です か	0	0
96	eat	たべる	I had Thai curry yesterday.	きのう たいかれー を <b>たべました</b>	0	0
97	drink	のむ	I'm drinking sake with a friend.	ともだち と おさけ を <b>のんで います</b>	0	0
98	cooked rice, meal	ごはん	I prefer rice to bread.	わたし は ぱん より <b>ごはん</b> が すき だ	0	0
99	show	みせる	Please show me those pictures.	その しゃしん を <b>みせて</b> ください	0	0
100	more	もっと	Please come closer.	<b>もっと</b> ちかく に きて ください	0	0
101	find	みつける	I found a new job.	あたらしい しごと を <b>みつけました</b>。	0	0
102	be visible	みえる	You can see Mount Fuji well from here.	ここ から ふじさん が よく <b>みえます</b>	0	0
103	be found, be caught	みつかる	I can't find my glasses.	めがね が <b>みつかりません</b>	0	0
104	say, tell	いう	"My boss said: """"Let's have a drink."""""	じょうし が いっぱい のもう と <b>いった</b>	0	0
105	thousand@line	せん	Please lend me 1000 yen.@Please draw two red lines.	<b>せん</b>えん かして ください@あかい <b>せん</b> を に ほん ひいて ください	0	0
106	read	よむ	She's reading the magazine.	かのじょ は ざっし を <b>よんで います</b>	0	0
107	memorize, learn	おぼえる	My little sister learned all the hiragana.	いもうと は ひらがな を ぜんぶ <b>おぼえました</b>	0	0
108	work, job	しごと	I have a lot of work in March.	さんがつ は <b>しごと</b> が いそがしい	0	0
109	situation, case	ばあい	Please ask me if you don't understand.	わからない <b>ばあい</b> は わたし に きいて ください	0	0
110	train	でんしゃ	I go to school by train.	わたし は <b>でんしゃ</b> で つうがく して います	0	0
111	walk, go on foot	あるく	Let's walk to the station.	えき まで <b>あるきましょう</b>	0	0
112	run	はしる	Every night he runs three kilometers.	かれ は まいばん さんきろ <b>はしって います</b>	0	0
113	near, soon	ちかい	The station is near here.	えき は ここ から <b>ちかい</b> です	0	0
114	near, close to@vicinity, nearby	ちかく	I ate near the station.@My house is near the station.	えき の <b>ちかく</b> で しょくじ を した@わたし の いえ は えき の <b>ちかく</b> です	0	0
115	far, distant	とおい	It's a long way from my house to the school.	いえ から がっこう まで は <b>とおい</b> です	0	0
116	long	ながい	Her hair is very long.	かのじょ の かみ は とても <b>ながい</b>	0	0
117	short, brief	みじかい	His legs are short.	かれ は あし が <b>みじかい</b>	0	0
118	wide, big	ひろい	His house is very big.	かれ の いえ は とても <b>ひろい</b>	0	0
119	receive	もらう	I got a present from her.	かのじょ から ぷれぜんと を <b>もらいました</b>	0	0
120	all, wholly	ぜんぶ	I'd like all of those, please.	それ <b>ぜんぶ</b> ください	0	0
121	country	くに	Let me tell you a bit about my country.	わたし の <b>くに</b> に ついて すこし おはなし しましょう	0	0
122	white, blank	しろい	His teeth are white.	かれ は は が <b>しろい</b>	0	0
123	red	あかい	I bought a red rose.	<b>あかい</b> ばら を かいました	0	0
124	room	へや	My room is on the second floor.	わたし の <b>へや</b> は にかい に あります	0	0
125	rice (grain)	こめ	Japanese people love rice.	にほんじん は お<b>こめ</b> が だいすき です	0	0
126	yet, more	まだ	I haven't finished my homework yet.	しゅくだい は <b>まだ</b> おわって いません	0	0
127	exist, possess	ある	There are a lot of documents on my desk.	わたし の つくえ の うえ に しょるい が たくさん <b>あります</b>	0	0
128	to not be	ない	There's nothing here.	ここ に は なに も <b>ない</b>	0	0
129	very	とても	This book is very interesting.	この ほん は <b>とても</b> おもしろい	0	0
130	make, create	つくる	I'm making breakfast now.	いま あさごはん を <b>つくって います</b>	0	0
131	use	つかう	Please use this computer.	この ぱそこん を <b>つかって</b> ください	0	0
132	switch off, turn off	けす	Please turn the lights off during the day.	ひるま は でんき を <b>けして</b> ください	0	0
133	sell	うる	He sold the house.	かれ は いえ を <b>うった</b>	0	0
134	shop, store	みせ	I come to this store quite often.	わたし は この <b>みせ</b> に よく きます	0	0
135	summer	なつ	I just love summer.	わたし は <b>なつ</b> が だいすき	0	0
136	winter	ふゆ	Canada's winters are very cold.	かなだ の <b>ふゆ</b> は とても さむい です	0	0
137	all, everybody	みんな	Let's give everyone some sweets.	<b>みんな</b> に おかし を あげましょう	0	0
138	cold (temperature of the air)	さむい	It's cold in this room.	この へや は <b>さむい</b> です	0	0
139	warm	あたたかい	This coat is really warm.	この こーと は とても <b>あたたかい</b>。	0	0
140	new	あたらしい	His car is new.	かれ の くるま は <b>あたらしい</b>	0	0
141	old	ふるい	I like old cars.	わたし は <b>ふるい</b> くるま が すき です	0	0
142	bad	わるい	Cigarettes are bad for your health.	たばこ は からだ に <b>わるい</b>	0	0
143	think	おもう	I think so too.	わたし も そう <b>おもいます</b>	0	0
144	seven	しち	There are seven members of the group in all.	その ぐるーぷ の めんばー は ぜんぶ で <b>しち</b>にん だ	0	0
145	seven	なな	There are seven bananas.	ばなな が <b>なな</b>ほん あります	0	0
146	forget, leave behind	わすれる	Please don't forget your promise.	やくそく を <b>わすれない で</b> ください	0	0
147	think, consider	かんがえる	Please think carefully.	よく <b>かんがえて</b> ください	0	0
148	decide, agree upon	きめる	I've decided to go back to my country.	きこく する こと に <b>きめました</b>	0	0
149	be decided	きまる	I've decided on my travel schedule.	りょこう の にってい が <b>きまりました</b>	0	0
150	know	しる	No one knows that story.	だれ も その はなし を <b>しらない</b>	0	0
151	most	いちばん	He's the tallest in class.	かれ は くらす で <b>いちばん</b> せ が たかい	0	0
152	name	なまえ	Please tell me your name.	あなた の <b>なまえ</b> を おしえて ください	0	0
153	food	たべもの	Japanese food is very delicious.	にっぽん の <b>たべもの</b> は とても おいしい です	0	0
154	when	いつ	When is she coming?	かのじょ は <b>いつ</b> きます か	0	0
155	beverage, drink	のみもの	I could really use something to drink.	なに か <b>のみもの</b> が ほしい な 。	0	0
156	light, light weight	かるい	These shoes are very light.	この くつ は とても <b>かるい</b>	0	0
157	feeling, sensation	きもち	I don't understand his feelings.	かれ の <b>きもち</b> が わからない	0	0
158	gold, sum of money, Friday	きん	She's wearing a gold necklace.	かのじょ は <b>きん</b> の ねっくれす を して います	0	0
159	live (one's life)	いきる	They're all living their lives the best way that they can.	みんな いっしょうけんめい <b>いきて いる</b>	0	0
160	which	どちら	Which do you prefer, meat or fish?	にく と さかな と <b>どちら</b> が すき です か	0	0
161	teacher	せんせい	I want to become a Japanese teacher.	わたし は にほんご の <b>せんせい</b> に なりたい です	0	0
162	university, college	だいがく	I want to go to college and study more.	<b>だいがく</b> に いって もっと べんきょう したい です	0	0
163	student	がくせい	He's a serious student.	かれ は まじめ な <b>がくせい</b> です	0	0
164	university student	だいがくせい	My big sister's a college student.	あね は <b>だいがくせい</b> です	0	0
165	school	がっこう	School starts at 8:30.	<b>がっこう</b> は はちじはん に はじまります	0	0
166	do@give (to an inferior)	やる	Let's do our homework together.@I fed the dog.	いっしょ に しゅくだい を <b>やろう</b>@いぬ に えさ を <b>やった</b>	0	0
167	high school student	こうこうせい	My little brother's a high school student.	わたし の おとうと は <b>こうこうせい</b> です	0	0
168	teach, tell	おしえる	He teaches mathematics.	かれ は すうがく を <b>おしえて います</b>	0	0
169	study	べんきょう	I'm studying Japanese.	わたし は にほんご を <b>べんきょう</b> して います	0	0
170	strong	つよい	There's a strong wind today.	きょう は かぜ が <b>つよい</b>	0	0
171	what, which	なに	What would you like for supper?	ゆうしょく に は <b>なに</b> を たべたい です か	0	0
172	what, which	なん	What's the question?	しつもん は <b>なん</b> です か	0	0
173	what, which	どれ	Which of these do you like?	この なか で <b>どれ</b> が すき です か	0	0
174	weak	よわい	That child has a somewhat weak constitution.	その こ は からだ が すこし <b>よわい</b>	0	0
175	question	しつもん	Please feel free to ask any questions.	<b>しつもん</b> の ある かた は どうぞ	0	0
176	difficult	むずかしい	This book is difficult.	この ほん は <b>むずかしい</b> です ね	0	0
177	number	かず	There are not enough glasses.	ぐらす の <b>かず</b> が たりません	0	0
178	win	かつ	The Yankees won today.	きょう は やんきーす が <b>かった</b>	0	0
179	lose	まける	Our team lost the game.	わたしたち の ちーむ は その しあい で <b>まけた</b>	0	0
180	really, truly	ほんとうに	I really like you.	あなた が <b>ほんとうに</b> すき です	0	0
181	door	ドア	Please open the door.	<b>どあ</b> を あけて ください	0	0
182	clock, watch	とけい	I looked at the clock and it was exactly three.	<b>とけい</b> を みたら ちょうど さんじ だった	0	0
183	pay	はらう	Let me pay for that.	わたし が <b>はらいましょう</b>	0	0
184	cut@wear, put on	きる	Please cut this paper in half.@I'm wearing a suit today.	この かみ を はんぶん に <b>きって</b> ください@きょう は すーつ を <b>きて います</b>	0	0
185	already, yet@another, again	もう	He's already gone home.@Please give me another cup of coffee.	かれ は <b>もう</b> かえりました 。@こーひー を <b>もう</b> いっぱい ください	0	0
186	sit, sit down	すわる	I sat in a window seat.	わたし は まどがわ の せき に <b>すわった</b>	0	0
187	next	つぎ	When shall we meet again?	<b>つぎ</b> は いつ あいましょう か	0	0
188	chat, talk	しゃべる	She really likes to chat, doesn't she?	かのじょ は よく <b>しゃべる</b> ね	0	0
189	move	うごく	Freeze!	<b>うごかない で</b>	0	0
190	work	はたらく	My big sister works at a bank.	あね は ぎんこう で <b>はたらいています</b>。	0	0
191	tree, wood@spirit, temperament	き	The tree fell because of the typhoon.@He's unexpectedly timid.	たいふう で <b>き</b> が たおれた@かれ は いがい に <b>き</b> が ちいさい	0	0
192	early@fast	はやい	It's still too early to go to school.@He runs fast.	まだ がっこう へ いく に は <b>はやい</b> じかん です@かれ は はしる の が <b>はやい</b>	0	0
193	slow, late	おそい	The car in front is very slow.	まえ の くるま は とても <b>おそい</b>	0	0
194	begin, start	はじめる	Please start the test.	てすと を <b>はじめて</b> ください	0	0
195	begin	はじまる	My new job started.	あたらしい しごと が <b>はじまりました</b>	0	0
196	finish, end	おわる	The conference ends at four o'clock.	かいぎ は よじ に <b>おわります</b>	0	0
197	end, conclusion	おわり	Summer vacation's already over.	なつやすみ も もう <b>おわり</b> だ	0	0
198	table	テーブル	I bought a new table.	あたらしい <b>てーぶる</b> を かいました	0	0
199	last year	きょねん	I went to France last year.	わたし は <b>きょねん</b> ふらんす へ いった	0	0
200	enjoy	たのしむ	Today I would like to enjoy some time to myself.	きょう は ひとり の じかん を <b>たのしみたい</b>	0	0
201	fun, enjoyable	たのしい	He's very fun to be with.	かれ は とても <b>たのしい</b> ひと です	0	0
202	sing	うたう	We sang loudly.	わたしたち は おおき な こえ で <b>うたいました</b>	0	0
203	want, desire	ほしい	I want new shoes.	ぼく は あたらしい くつ が <b>ほしい</b> です	0	0
204	color	いろ	That sweater is a wonderful color.	すてき な <b>いろ</b> の せーたー です ね	0	0
205	light brown	ちゃいろ	She's wearing brown shoes.	かのじょ は <b>ちゃいろ</b> の くつ を はいて います	0	0
206	at once, soon	すぐ	I'll go right away.	<b>すぐ</b> いきます	0	0
207	game	ゲーム	We played a video game.	わたしたち は びでお<b>げーむ</b> を した	0	0
208	rewrite	かきなおす	Please rewrite this document.	この しょるい を <b>かきなおして</b> ください	0	0
209	turn	まがる	Please turn left there.	そこ を ひだり に <b>まがって</b> ください	0	0
210	same, identical	おなじ	His Japanese level is about the same as mine.	かれ の にほんご の れべる は わたし と <b>おなじ</b> くらい だ	0	0
211	differ, be wrong	ちがう	That's the wrong answer.	こたえ が <b>ちがいます</b>	0	0
212	library	としょかん	I borrowed a cookbook from the library.	<b>としょかん</b> で りょうり の ほん を かりた	0	0
213	play	あそぶ	The children are playing in the park.	こどもたち が こうえん で <b>あそんで いる</b>	0	0
214	why	どうして	Why are you crying?	<b>どうして</b> ないて いる の	0	0
215	father	おとうさん	My father's a company employee.	<b>おとうさん</b> は かいしゃいん です	0	0
216	(speaker's)father	ちち	I love my father.	わたし は <b>ちち</b> が だいすき です	0	0
217	mother	おかあさん	Please give my best to your mother.	<b>おかあさん</b> に よろしく おつたえ ください	0	0
218	be empty	すく	The restaurant was empty.	れすとらん は <b>すいて いました</b>	0	0
219	(speaker's)mother	はは	I talked to my mother yesterday.	きのう <b>はは</b> と はなし を しました	0	0
220	parent	おや	We're grateful for our parents' love.	<b>おや</b> の あい は ありがたい	0	0
221	older sister	あね	My big sister's a college student.	<b>あね</b> は だいがくせい です	0	0
222	older sister	おねえさん	I met your older sister yesterday.	きのう あなた の <b>おねえさん</b> に あった よ	0	0
223	younger sister	いもうと	My little sister goes to elementary school.	わたし の <b>いもうと</b> は しょうがくせい です	0	0
224	stomach	おなか	I'm hungry.	<b>おなか</b> が すきました	0	0
225	older brother	あに	My big brother is good at swimming.	<b>あに</b> は すいえい が とくい です	0	0
226	older brother	おにいさん	How old's your big brother?	あなた の <b>おにいさん</b> は なんさい	0	0
227	younger brother	おとうと	My little brother likes baseball.	<b>おとうと</b> は やきゅう が すき です	0	0
228	daughter, girl	むすめ	My daughter is in the United States.	わたし の <b>むすめ</b> は あめりか に います	0	0
229	son	むすこ	My son's a college freshman.	うち の <b>むすこ</b> は だいがく いちねんせい です	0	0
230	young	わかい	He's still young.	かれ は まだ <b>わかい</b> です	0	0
231	she, one's girlfriend	かのじょ	She's an office worker.	<b>かのじょ</b> は おーえる です	0	0
232	he, one's boyfriend	かれ	He's my senior.	<b>かれ</b> は わたし の じょうし です	0	0
233	marriage	けっこん	She's getting married next month.	かのじょ は らいげつ <b>けっこん</b> します	0	0
234	meeting	ミーティング	The meeting started at 9 a.m.	あさ 9 じ から <b>みーてぃんぐ</b> が はじまった	0	0
235	house, home	いえ	This is my house.	ここ が わたし の <b>いえ</b> です	0	0
236	bicycle	じてんしゃ	I go to the station by bike every day.	まいにち えき まで <b>じてんしゃ</b> で いきます	0	0
237	self, oneself	じぶん	Do your homework by yourself.	しゅくだい は <b>じぶん</b> で やりなさい	0	0
238	(your) husband	ごしゅじん	How is your husband?	<b>ごしゅじん</b> は おげんき です か	0	0
239	answer, reply	こたえる	Please answer my question.	わたし の しつもん に <b>こたえて</b> ください	0	0
240	another, different	べつ	Please show me another book.	<b>べつ</b> の ほん も みせて ください	0	0
241	illness	びょうき	My grandfather got sick.	そふ が <b>びょうき</b> に なった	0	0
242	die	しぬ	Our dog got sick and died.	いぬ が びょうき で <b>しにました</b>。	0	0
243	painful	いたい	I have a headache today.	きょう は あたま が <b>いたい</b> です	0	0
244	alcoholic drink, Japanese rice wine	さけ	She holds her liquor well.	かのじょ は <b>さけ</b> に つよい	0	0
245	full	いっぱい	The pool is packed.	ぷーる は ひと で <b>いっぱい</b> です	0	0
246	fly	とぶ	A bird is flying.	とり が <b>とんで います</b>	0	0
247	airplane	ひこうき	My son likes toy airplanes.	むすこ は <b>ひこうき</b> の おもちゃ が すき です	0	0
248	favor	おねがい	I have a favor to ask.	<b>おねがい</b> が あります	0	0
249	continue, follow	つづく	Construction will continue until March.	こうじ は さんがつ まで <b>つづきます</b>	0	0
250	diary	にっき	I keep a diary every day.	わたし は まいにち <b>にっき</b> を つけて います	0	0
251	neck	くび	Giraffes' necks are long.	きりん の <b>くび</b> は ながい	0	0
252	face	かお	He wiped his face with a towel.	かれ は たおる で <b>かお</b> を ふきました	0	0
253	that over there	あれ	What's that?	<b>あれ</b> は なん です か	0	0
254	feel, sense	かんじる	I feel a pain in my knee.	ひざ に いたみ を <b>かんじます</b>	0	0
255	open	ひらく	Please open to page 32.	さんじゅうにぺーじ を <b>ひらいて</b> ください	0	0
256	fall, sink	おちる	Monkeys also fall from trees.	さる も き から <b>おちる</b>	0	0
257	toilet, bathroom	おてあらい	Where's the bathroom?	<b>おてあらい</b> は どこ です か	0	0
258	cold (things, touch)	つめたい	Please give me a cold drink.	<b>つめたい</b> のみもの を ください	0	0
259	dirty	きたない	His room is very dirty.	かれ の へや は とても <b>きたない</b>	0	0
260	thick, fat	ふとい	She has fat legs.	かのじょ は あし が <b>ふとい</b>	0	0
261	become cloudy	くもる	It'll probably get cloudy around noon tomorrow.	あす は ひるごろ から <b>くもる</b> でしょう	0	0
262	yellow	きいろい	I bought her a yellow rose.	かのじょ に <b>きいろい</b> ばら を かいました	0	0
263	after, afterwards	のち	He would later become Prime Minister.	<b>のち</b> に かれ は そうり だいじん に なりました	0	0
264	together, at the same time	いっしょに	Let's go home together.	<b>いっしょに</b> かえりましょう	0	0
265	green, foliage	みどり	There's a lot of greenery in this town.	この まち に は <b>みどり</b> が たくさん あります	0	0
266	student studying abroad	りゅうがくせい	He's a foreign student.	かれ は <b>りゅうがくせい</b> です	0	0
267	return, turn back	もどる	I'm going back to the office now.	いま かいしゃ に <b>もどります</b>	0	0
268	get up, get out of bed@occur	おきる	I get up at six o'clock every morning.@Some burglaries occurred in the neighborhood.	わたし は まいあさ ろくじ に <b>おきます</b>@きんじょ で とうなん じけん が <b>おきました</b>	0	0
269	gentle, kind@easy, simple	やさしい	He's a very kind person.@This problem is pretty easy.	かれ は とても <b>やさしい</b> ひと です@この もんだい は かなり <b>やさしい</b> です	0	0
270	sleep, go to sleep	ねる	Let's go to bed.	もう <b>ねよう</b>	0	0
271	thin, slender, narrow	ほそい	Her fingers are thin.	かのじょ は ゆび が <b>ほそい</b> です ね	0	0
272	place, put on	のせる	I put the cake on the plate.	さら に けーき を <b>のせました</b>。	0	0
273	sweet	あまい	This strawberry is sweet.	この いちご は <b>あまい</b>	0	0
274	here	こっち	Please come here.	<b>こっち</b> に きて ください	0	0
275	husband	おっと	My husband is a company employee.	わたし の <b>おっと</b> は さらりーまん です	0	0
276	wife	つま	It's my wife's birthday today.	きょう は <b>つま</b> の たんじょうび だ	0	0
277	who, whom	だれ	Who would you like to meet one day?	<b>だれ</b> と あって みたい です か	0	0
278	love, care for	あいする	I love my family.	わたし は かぞく を <b>あいして います</b>	0	0
279	laugh, smile	わらう	The baby is laughing.	あかんぼう が <b>わらって います</b>	0	0
280	sour	すっぱい	These grapes are sour.	この ぶどう は <b>すっぱい</b> です	0	0
281	word, language	ことば	I don't understand the meaning of this word.	この <b>ことば</b> の いみ が わかりません	0	0
282	call, name	よぶ	Let's call the waiter.	うぇいたー を <b>よびましょう</b>	0	0
283	chest	むね	I have a slight pain in my chest.	<b>むね</b> に すこし いたみ が あります	0	0
284	hip, lower back	こし	I've had a pain in my lower back since yesterday.	きのう から <b>こし</b> が いたい	0	0
285	height, stature	せ	She's tall.	かのじょ は <b>せ</b> が たかい	0	0
286	katakana	かたかな	Please write your name in katakana.	おなまえ を <b>かたかな</b> で かいて ください	0	0
287	hiragana	ひらがな	I can read all the hiragana.	わたし は <b>ひらがな</b> を ぜんぶ よめます	0	0
288	sad	かなしい	That movie was very sad.	その えいが は とても <b>かなしかった</b>	0	0
289	beautiful	うつくしい	This picture is beautiful.	この え は <b>うつくしい</b> です	0	0
